HandA,HandA_no,HandB,HandB_no,HandA_Wins,Ties,HandB_Wins
QJs,29,J3s,50,0.7061327695846558,0.039075423032045364,0.254791796207428
QJs,29,J2s,51,0.7104900479316711,0.0393574982881546,0.25015243887901306
QJs,29,TAo,52,0.44372230768203735,0.0045613981783390045,0.5517162680625916
QJs,29,TKo,53,0.434731662273407,0.006865311414003372,0.5584030151367188
QJs,29,TQo,54,0.6991416215896606,0.07746268808841705,0.2233956903219223
QJs,29,TJo,55,0.7245417237281799,0.03705514222383499,0.23840315639972687
QJs,29,TTo,56,0.4682924151420593,0.003976708278059959,0.5277308821678162
QJs,29,T9s,57,0.6400469541549683,0.009364867582917213,0.3505881428718567
QJs,29,T8s,58,0.6471168398857117,0.009319168515503407,0.3435640037059784
QJs,29,T7s,59,0.6563758254051208,0.009273470379412174,0.33435067534446716
QJs,29,T6s,60,0.6648700833320618,0.009175210259854794,0.3259546756744385
QJs,29,T5s,61,0.6736078858375549,0.009565912187099457,0.316826194524765
QJs,29,T4s,62,0.6739627122879028,0.009572920389473438,0.3164643943309784
QJs,29,T3s,63,0.6773774027824402,0.009685195982456207,0.3129374086856842
QJs,29,T2s,64,0.6808512210845947,0.009797471575438976,0.3093513250350952
QJs,29,9Ao,65,0.4605657160282135,0.004497740883380175,0.5349365472793579
QJs,29,9Ko,66,0.45157504081726074,0.00680165458470583,0.5416232943534851
QJs,29,9Qo,67,0.7025654911994934,0.07535091042518616,0.22208361327648163
QJs,29,9Jo,68,0.7257912755012512,0.03763739764690399,0.2365713119506836
QJs,29,9To,69,0.6689492464065552,0.009149660356342793,0.3219010829925537
QJs,29,99o,70,0.47931012511253357,0.0039977324195206165,0.5166921019554138
QJs,29,98s,71,0.6297431588172913,0.009114911779761314,0.3611419200897217
QJs,29,97s,72,0.6390022039413452,0.009069212712347507,0.35192859172821045
QJs,29,96s,73,0.6471127271652222,0.008970953524112701,0.34391629695892334
QJs,29,95s,74,0.6553620100021362,0.009361655451357365,0.335276335477829
QJs,29,94s,75,0.6678289771080017,0.009458016604185104,0.3227129876613617
QJs,29,93s,76,0.6682429313659668,0.009465024806559086,0.3222920596599579
QJs,29,92s,77,0.6717167496681213,0.009577300399541855,0.3187059760093689
QJs,29,8Ao,78,0.46368342638015747,0.004378019366413355,0.5319385528564453
QJs,29,8Ko,79,0.4647396206855774,0.006739311385899782,0.5285210609436035
QJs,29,8Qo,80,0.7032896280288696,0.07606242597103119,0.220647931098938
QJs,29,8Jo,81,0.7297119498252869,0.038316208869218826,0.2319718599319458
QJs,29,8To,82,0.6764149069786072,0.009087317623198032,0.3144977390766144
QJs,29,89o,83,0.6584839820861816,0.008883790113031864,0.33263224363327026
QJs,29,88o,84,0.4888684153556824,0.0042582000605762005,0.506873369216919
QJs,29,87s,85,0.6286684274673462,0.008975042030215263,0.3623565137386322
QJs,29,86s,86,0.6343914270401001,0.008877220563590527,0.3567313253879547
QJs,29,85s,87,0.6400235891342163,0.00926792249083519,0.3507084548473358
QJs,29,84s,88,0.6524906158447266,0.00936428364366293,0.3381451368331909
QJs,29,83s,89,0.6650167107582092,0.00946064479649067,0.32552266120910645
