hand,1_win,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,1_tie,2_tie,3_tie,4_tie,5_tie,6_tie,7_tie,8_tie,9_tie
6Ko,0.5230205059051514,0.3301163613796234,0.23493103682994843,0.1796087622642517,0.14334778487682343,0.11763297021389008,0.09852351993322372,0.08384372293949127,0.0723314955830574,0.019263355061411858,0.018952643498778343,0.0174401868134737,0.01630222238600254,0.015512046404182911,0.014884444884955883,0.014302164316177368,0.013721146620810032,0.013129482977092266
6Qo,0.49004507064819336,0.3040718138217926,0.21525754034519196,0.16359829902648926,0.1296216994524002,0.10557716339826584,0.0878278985619545,0.07430803030729294,0.06377577036619186,0.020274722948670387,0.01841074787080288,0.01648036390542984,0.015339280478656292,0.014628268778324127,0.01408166904002428,0.013589166104793549,0.013105606660246849,0.012623900547623634
6Jo,0.45720282196998596,0.280393123626709,0.19817134737968445,0.15016435086727142,0.11847161501646042,0.0961243212223053,0.0797320231795311,0.06731627881526947,0.057692158967256546,0.02130628563463688,0.017692090943455696,0.015513939782977104,0.014511392451822758,0.013982483185827732,0.013602924533188343,0.013265525922179222,0.012934748083353043,0.012599827721714973
6To,0.43851780891418457,0.27406758069992065,0.19692017138004303,0.1507311314344406,0.11992240697145462,0.09820494055747986,0.0823049321770668,0.07027868181467056,0.06093677505850792,0.022449763491749763,0.01724596507847309,0.015069804154336452,0.014237345196306705,0.013804170303046703,0.013474768027663231,0.013181906193494797,0.012910250574350357,0.012646921910345554
69o,0.42103907465934753,0.26931050419807434,0.19630707800388336,0.15167902410030365,0.12191004306077957,0.10112199187278748,0.0860535278916359,0.074730284512043,0.06595166027545929,0.023879677057266235,0.0166236013174057,0.014255109243094921,0.013271070085465908,0.012626156210899353,0.012098811566829681,0.011660692282021046,0.011297502554953098,0.010997411794960499
68o,0.40699031949043274,0.26798853278160095,0.1982286125421524,0.15491093695163727,0.12609362602233887,0.10609171539545059,0.0916321724653244,0.08075498789548874,0.07228641211986542,0.02544659748673439,0.016262738034129143,0.013951022177934647,0.012981112115085125,0.012298624031245708,0.011759109795093536,0.01134403981268406,0.011033093556761742,0.010793901048600674
67o,0.3965684175491333,0.2682041823863983,0.2003350555896759,0.15772436559200287,0.12952448427677155,0.11003752052783966,0.09597048908472061,0.085360087454319,0.07704123854637146,0.02668544091284275,0.015930522233247757,0.013725390657782555,0.012732550501823425,0.01200457476079464,0.011452012695372105,0.011057903058826923,0.0107850581407547,0.010599848814308643
66o,0.6270212531089783,0.4281080663204193,0.31186580657958984,0.2416057288646698,0.19771741330623627,0.1693175584077835,0.15016941726207733,0.1366642862558365,0.1266852170228958,0.005839395336806774,0.003792501287534833,0.003305480582639575,0.003218465019017458,0.0032584085129201412,0.003338028211146593,0.0034283355344086885,0.003511088201776147,0.003580760443583131
65s,0.4034765958786011,0.28724175691604614,0.22395022213459015,0.1849161833524704,0.1592886745929718,0.14136604964733124,0.1280389428138733,0.11756520718336105,0.10897146910429001,0.027839481830596924,0.015421994961798191,0.013102920725941658,0.011965903453528881,0.011173964478075504,0.010631604120135307,0.010280787013471127,0.010068049654364586,0.009937851689755917
64s,0.38478586077690125,0.2698576748371124,0.20884250104427338,0.17209552228450775,0.14831304550170898,0.13176289200782776,0.11946291476488113,0.10974623262882233,0.10172154009342194,0.028523139655590057,0.015130327083170414,0.012542568147182465,0.011246802285313606,0.010369901545345783,0.00978105142712593,0.009398235939443111,0.009161305613815784,0.009017481468617916
63s,0.366864949464798,0.25194960832595825,0.19298379123210907,0.15825781226158142,0.1360618770122528,0.12069185823202133,0.1092270165681839,0.10013828426599503,0.09259616583585739,0.028477421030402184,0.014683709479868412,0.011850535869598389,0.010427982546389103,0.009483804926276207,0.008855720981955528,0.008452603593468666,0.008197419345378876,0.008039002306759357
62s,0.3483467698097229,0.2338838428258896,0.17710819840431213,0.14442723989486694,0.12379253655672073,0.10954214632511139,0.09886670112609863,0.0903429463505745,0.08323680609464645,0.02831704542040825,0.014208454638719559,0.01117627788335085,0.00965015310794115,0.00865801889449358,0.008014288730919361,0.007603940088301897,0.00734506594017148,0.007178984582424164
5Ao,0.5574108958244324,0.3611208498477936,0.2602291703224182,0.20107653737068176,0.1623784452676773,0.13494890928268433,0.11445112526416779,0.098599374294281,0.08606007695198059,0.019539352506399155,0.020796284079551697,0.01986859180033207,0.018883081153035164,0.01808471418917179,0.01739324815571308,0.016709282994270325,0.015993600711226463,0.01523938775062561
5Ko,0.5125686526298523,0.31963998079299927,0.22584930062294006,0.1720195859670639,0.13707074522972107,0.11242569237947464,0.0941564068198204,0.08014664053916931,0.0691598653793335,0.02061300352215767,0.019846543669700623,0.01804262213408947,0.016765037551522255,0.015901831910014153,0.015231193043291569,0.014614232815802097,0.013998886570334435,0.013370408676564693
5Qo,0.4796285033226013,0.2939353585243225,0.2065483033657074,0.156396746635437,0.12374303489923477,0.10077802836894989,0.08386106789112091,0.07099656760692596,0.060971204191446304,0.021610992029309273,0.01916496455669403,0.01694772206246853,0.01568194478750229,0.014901804737746716,0.014314700849354267,0.01378982700407505,0.01327676884829998,0.012765038758516312
5Jo,0.4490657150745392,0.2725158631801605,0.19109342992305756,0.14403490722179413,0.11326485872268677,0.09170953929424286,0.07594837993383408,0.0640287697315216,0.05479155108332634,0.02276040054857731,0.018628085032105446,0.016237350180745125,0.015118997544050217,0.014487795531749725,0.014016563072800636,0.013590111397206783,0.013176701962947845,0.012769695371389389
5To,0.4185698330402374,0.25288814306259155,0.17749877274036407,0.1335134655237198,0.10472483932971954,0.08464398980140686,0.07004592567682266,0.059035174548625946,0.050491515547037125,0.023934684693813324,0.017935736104846,0.015488631092011929,0.014593327417969704,0.014155840501189232,0.013849247246980667,0.013576331548392773,0.013317691162228584,0.013052389025688171
59o,0.40137290954589844,0.24827632308006287,0.17683516442775726,0.13424964249134064,0.10633975267410278,0.08704028278589249,0.07310730963945389,0.06265996396541595,0.0545664019882679,0.025320174172520638,0.01718571037054062,0.014525176957249641,0.013439496047794819,0.012749929912388325,0.012204724363982677,0.011760271154344082,0.011388762854039669,0.011074057780206203
58o,0.38744741678237915,0.2473839521408081,0.17925144731998444,0.1380224972963333,0.11107055842876434,0.0925469622015953,0.07921230047941208,0.06920226663351059,0.061399709433317184,0.02686065062880516,0.01672401838004589,0.0141290919855237,0.013045130297541618,0.01230720616877079,0.011747672222554684,0.011322274804115295,0.011000758036971092,0.010748055763542652
57o,0.37678954005241394,0.2485504150390625,0.18274588882923126,0.14258314669132233,0.11651019752025604,0.09868376702070236,0.08586464077234268,0.07618485391139984,0.0685625672340393,0.028364164754748344,0.016341159120202065,0.013852481730282307,0.012755009345710278,0.011981012299656868,0.011419253423810005,0.011028856039047241,0.010759666562080383,0.01057476457208395
56o,0.37014245986938477,0.2506539225578308,0.18595632910728455,0.14643099904060364,0.12091564387083054,0.10350047051906586,0.09094163030385971,0.08139942586421967,0.07383669167757034,0.02929975464940071,0.01600775122642517,0.013604589737951756,0.012449146248400211,0.011644929647445679,0.011090478859841824,0.010730518028140068,0.010511310771107674,0.010375751182436943
55o,0.5964181423187256,0.39649367332458496,0.2853758633136749,0.22099344432353973,0.18202327191829681,0.15730775892734528,0.1407613605260849,0.12904207408428192,0.12023108452558517,0.006842529866844416,0.004095372278243303,0.0034242598339915276,0.0032651752699166536,0.0032728761434555054,0.0033385141286998987,0.0034210579469799995,0.003500931663438678,0.0035706476774066687
54s,0.38531678915023804,0.27493250370025635,0.21413296461105347,0.1775905340909958,0.15391457080841064,0.1373802125453949,0.12496618926525116,0.11508787423372269,0.10685829073190689,0.029201345518231392,0.015281902626156807,0.012807400897145271,0.011562134139239788,0.01076025515794754,0.010256065987050533,0.009958344511687756,0.009795278310775757,0.009708494879305363
53s,0.36759310960769653,0.2579402029514313,0.1995464414358139,0.16527865827083588,0.1433693766593933,0.12812303006649017,0.11665180325508118,0.10746097564697266,0.09975028038024902,0.0293340552598238,0.014834696426987648,0.012114466167986393,0.010741612873971462,0.009878075681626797,0.00934489257633686,0.009032323025166988,0.008859853260219097,0.008765309117734432
52s,0.349289208650589,0.24009503424167633,0.18387584388256073,0.15164349973201752,0.13129834830760956,0.1171734631061554,0.10650330781936646,0.09789230674505234,0.09064076840877533,0.029186785221099854,0.01434598583728075,0.011403119191527367,0.009909876622259617,0.008979848586022854,0.008415937423706055,0.008083121851086617,0.007895375601947308,0.007785348687320948
4Ao,0.5473374128341675,0.3510594964027405,0.25188252329826355,0.19445021450519562,0.1571822166442871,0.13091488182544708,0.11133693903684616,0.09623156487941742,0.08429703861474991,0.019965186715126038,0.020843708887696266,0.01962401159107685,0.018452513962984085,0.017523907124996185,0.016735104843974113,0.015977492555975914,0.015201274305582047,0.014401008374989033
4Ko,0.5022709965705872,0.3100531995296478,0.21810822188854218,0.16595640778541565,0.13236425817012787,0.10881200432777405,0.09141059964895248,0.07809710502624512,0.06766235083341599,0.021032951772212982,0.01980682462453842,0.017713675275444984,0.016258159652352333,0.015277345664799213,0.014519792050123215,0.013837141916155815,0.013170444406569004,0.012502647005021572
4Qo,0.46927061676979065,0.2846921682357788,0.19913098216056824,0.15061260759830475,0.11929187923669815,0.09740984439849854,0.0813455805182457,0.06915254145860672,0.05965124070644379,0.022028174251317978,0.019062567502260208,0.01655765436589718,0.01512077171355486,0.014225487597286701,0.013550284318625927,0.012963934801518917,0.012405960820615292,0.01186252012848854
4Jo,0.43871963024139404,0.2636186480522156,0.18398891389369965,0.1385248452425003,0.10906042903661728,0.08856678754091263,0.0736176073551178,0.062334537506103516,0.053583189845085144,0.023184966295957565,0.018458137288689613,0.015791943296790123,0.01450258120894432,0.013760671950876713,0.013208151794970036,0.012728420086205006,0.012273749336600304,0.011837944388389587
4To,0.41056278347969055,0.24623502790927887,0.17185944318771362,0.12887805700302124,0.1009727343916893,0.08165647089481354,0.06766034662723541,0.05714068561792374,0.048989761620759964,0.02449095994234085,0.01800663024187088,0.015356664545834064,0.014288430102169514,0.01370215229690075,0.013260587118566036,0.012876107357442379,0.012521435506641865,0.012180821970105171
49o,0.380838543176651,0.22811287641525269,0.15884287655353546,0.11856167018413544,0.09262724220752716,0.07490801811218262,0.06221168488264084,0.05272776260972023,0.04539164900779724,0.025851305574178696,0.017042171210050583,0.014142573811113834,0.012949655763804913,0.012216546572744846,0.011658678762614727,0.011213288642466068,0.010839148424565792,0.010517269372940063
48o,0.3671082854270935,0.2272232323884964,0.16103900969028473,0.1219351589679718,0.09679470211267471,0.07968876510858536,0.06743773072957993,0.05826466903090477,0.05111931636929512,0.027379175648093224,0.016500240191817284,0.013629668392241001,0.01239355094730854,0.011571340262889862,0.010961617343127728,0.01050268579274416,0.010152794420719147,0.009875234216451645
47o,0.3566310405731201,0.22869127988815308,0.1648649424314499,0.1268460601568222,0.10257197171449661,0.08615466952323914,0.07441267371177673,0.06555768847465515,0.05859499052166939,0.02888202667236328,0.016078492626547813,0.013299879617989063,0.012034362182021141,0.011164517141878605,0.01054247934371233,0.010110359638929367,0.009807310998439789,0.009593247435986996
46o,0.3500230014324188,0.23183132708072662,0.16950178146362305,0.13241852819919586,0.10891378670930862,0.09303784370422363,0.08164939284324646,0.07298854738473892,0.06609886884689331,0.030074860900640488,0.015726624056696892,0.013037101365625858,0.011713827028870583,0.010819092392921448,0.010215614922344685,0.009822051972150803,0.009576448239386082,0.009423480369150639
45o,0.3507496118545532,0.2374841570854187,0.17538237571716309,0.13850778341293335,0.115115687251091,0.09926104545593262,0.08776871860027313,0.07895432412624359,0.07186030596494675,0.030795834958553314,0.01587618514895439,0.013307275250554085,0.012036830186843872,0.01121996995061636,0.010706297121942043,0.010401499457657337,0.01023357454687357,0.010141853243112564
44o,0.562565267086029,0.36348915100097656,0.2597774863243103,0.2029562145471573,0.16999396681785583,0.1495947539806366,0.13601605594158173,0.12629081308841705,0.11881205439567566,0.007657441310584545,0.004082806874066591,0.0031093782745301723,0.00277358153834939,0.002660574857145548,0.002636522753164172,0.0026477561332285404,0.0026695127598941326,0.0026893632020801306
43s,0.3572893738746643,0.24995826184749603,0.19265951216220856,0.1594761312007904,0.13839547336101532,0.12372146546840668,0.1126251071691513,0.10368862748146057,0.09614703804254532,0.029141832143068314,0.014306877739727497,0.011378983035683632,0.009863670915365219,0.008918873965740204,0.008338437415659428,0.00800145510584116,0.00781281664967537,0.007708323188126087
42s,0.3391501307487488,0.23294664919376373,0.1782480627298355,0.14739331603050232,0.12807980179786682,0.11466832458972931,0.10447157919406891,0.09619047492742538,0.08914195001125336,0.02910461090505123,0.013818351551890373,0.010673162527382374,0.009042001329362392,0.008041652850806713,0.00743861123919487,0.007092047482728958,0.006898778956383467,0.006790135521441698
3Ao,0.5385614037513733,0.34204646944999695,0.24427913129329681,0.18840323388576508,0.15247279405593872,0.1272781640291214,0.10855107754468918,0.09408393502235413,0.08264246582984924,0.019890733063220978,0.020481839776039124,0.01907079666852951,0.017759183421730995,0.016725733876228333,0.015851261094212532,0.015027502551674843,0.014207682572305202,0.013379132375121117
3Ko,0.4933747947216034,0.3015318512916565,0.21124571561813354,0.16071435809135437,0.12847384810447693,0.10599888116121292,0.08943004906177521,0.076756551861763,0.06680738180875778,0.02095050737261772,0.019426720216870308,0.017140809446573257,0.015550891868770123,0.014466299675405025,0.013628681190311909,0.012891735881567001,0.012189483270049095,0.011503401212394238
3Qo,0.46033069491386414,0.27636849880218506,0.19245809316635132,0.1455429643392563,0.11556326597929001,0.09473881125450134,0.0794847309589386,0.06790010631084442,0.05884932354092598,0.02194392867386341,0.018664680421352386,0.01596362516283989,0.014384132809937,0.013382731936872005,0.012635398656129837,0.011998041532933712,0.011409618891775608,0.010854100808501244
3Jo,0.42974039912223816,0.25547927618026733,0.177494615316391,0.13362574577331543,0.10550709068775177,0.08604296296834946,0.07187622040510178,0.06117750331759453,0.05285412818193436,0.02308797277510166,0.018039807677268982,0.015172400511801243,0.013740355148911476,0.012893893755972385,0.012274855747818947,0.01175028644502163,0.011269565671682358,0.010825175791978836
3To,0.40157395601272583,0.23825101554393768,0.16552238166332245,0.1241321936249733,0.09754254668951035,0.07923167198896408,0.06598696112632751,0.05602032318711281,0.04826151952147484,0.024401338770985603,0.017570966854691505,0.014714225195348263,0.013502556830644608,0.012819145806133747,0.012312755919992924,0.011886713095009327,0.011511661112308502,0.011163655668497086
39o,0.3743036687374115,0.22227223217487335,0.1538712978363037,0.11457601189613342,0.08952569216489792,0.07250406593084335,0.060343194752931595,0.05126843973994255,0.0442400686442852,0.0259151179343462,0.016885753720998764,0.013827349059283733,0.012478991411626339,0.011610940098762512,0.010939409025013447,0.010397279635071754,0.009947576560080051,0.00957021676003933
38o,0.3475365936756134,0.20771612226963043,0.14379934966564178,0.10700337588787079,0.08379868417978287,0.06816992163658142,0.05703683942556381,0.048705682158470154,0.04220367968082428,0.027339156717061996,0.016129277646541595,0.01307900995016098,0.011770790442824364,0.010931488126516342,0.010333055630326271,0.009889421053230762,0.009553925134241581,0.00928430538624525
37o,0.3372077941894531,0.20905150473117828,0.14730413258075714,0.1114530935883522,0.08893109858036041,0.07382646203041077,0.06304777413606644,0.054936766624450684,0.04854031652212143,0.028838802129030228,0.01565464586019516,0.012640129774808884,0.011251119896769524,0.010318980552256107,0.009667422622442245,0.00922109093517065,0.00890407245606184,0.008680048398673534
36o,0.33070793747901917,0.21242457628250122,0.152232825756073,0.11732157319784164,0.09556910395622253,0.08102089911699295,0.0705980733036995,0.06268183887004852,0.05636878311634064,0.030072977766394615,0.015287674032151699,0.012335117906332016,0.010876825079321861,0.009909107349812984,0.009263153187930584,0.008847407065331936,0.008581160567700863,0.008413140662014484
35o,0.3316621482372284,0.21907801926136017,0.159492626786232,0.12506626546382904,0.10362059623003006,0.08920898288488388,0.07879567891359329,0.07078280299901962,0.06430431455373764,0.03098672814667225,0.015435123816132545,0.012603377923369408,0.011197935789823532,0.010314462706446648,0.009767793118953705,0.00944541022181511,0.009265542961657047,0.009165922179818153
34o,0.3206839859485626,0.21058453619480133,0.15214361250400543,0.1188829317688942,0.09834007918834686,0.08457186818122864,0.07459317147731781,0.06688429415225983,0.060622576624155045,0.030789893120527267,0.014873717911541462,0.011818361468613148,0.010257246904075146,0.009285775944590569,0.008688203990459442,0.008340303786098957,0.008143752813339233,0.008033663965761662
33o,0.5284032225608826,0.33208543062210083,0.23689237236976624,0.18779687583446503,0.16050362586975098,0.14394253492355347,0.13284678757190704,0.12469609826803207,0.11821861565113068,0.008531305938959122,0.004099823534488678,0.0028090619016438723,0.002295158337801695,0.0020615255925804377,0.0019438196904957294,0.0018797985976561904,0.0018395553342998028,0.0018106881761923432
