HandA,HandA_no,HandB,HandB_no,Hand1_Wins,Ties,Hand2_Wins
TTo,56,3Ko,144,0.722531318665,0.00416823523119,0.273300439119
TTo,56,3Qo,145,0.723713338375,0.00427285628393,0.272013783455
TTo,56,3Jo,146,0.72489541769,0.00444054976106,0.270664066076
TTo,56,3To,147,0.914539694786,0.0332382582128,0.0522220358253
TTo,56,39o,148,0.877619802952,0.0048466026783,0.117533616722
TTo,56,38o,149,0.879054248333,0.00491760158911,0.116028130054
TTo,56,37o,150,0.863050937653,0.00488748308271,0.132061585784
TTo,56,36o,151,0.847616016865,0.0048640393652,0.147519946098
TTo,56,35o,152,0.830908834934,0.00528035406023,0.163810774684
TTo,56,34o,153,0.830915868282,0.00532206892967,0.163762062788
TTo,56,33o,154,0.810148894787,0.00545907719061,0.184392020106
TTo,56,32s,155,0.810748577118,0.00557786459103,0.183673575521
TTo,56,2Ao,156,0.710421741009,0.00427001947537,0.285308241844
TTo,56,2Ko,157,0.726410806179,0.00441660545766,0.26917257905
TTo,56,2Qo,158,0.72759282589,0.00452122651041,0.267885923386
TTo,56,2Jo,159,0.728774905205,0.00468892045319,0.266536206007
TTo,56,2To,160,0.918824851513,0.0334730297327,0.0477021001279
TTo,56,29o,161,0.881926774979,0.00509497290477,0.11297827214
TTo,56,28o,162,0.879071772099,0.00502530904487,0.115902900696
TTo,56,27o,163,0.880506277084,0.00509964535013,0.114394076169
TTo,56,26o,164,0.865071356297,0.00507620163262,0.129852443933
TTo,56,25o,165,0.848364233971,0.00549251586199,0.146143272519
TTo,56,24o,166,0.848371207714,0.00553423073143,0.146094545722
TTo,56,23o,167,0.852678179741,0.00574489124119,0.141576915979
TTo,56,22o,168,0.814354717731,0.00596646405756,0.179678842425
T9s,57,T8s,58,0.600114226341,0.1399371773,0.259948581457
T9s,57,T7s,59,0.602715432644,0.137816652656,0.259467959404
T9s,57,T6s,60,0.603708803654,0.137915343046,0.2583758533
T9s,57,T5s,61,0.606352627277,0.139462962747,0.254184424877
T9s,57,T4s,62,0.606755554676,0.140207573771,0.253036856651
T9s,57,T3s,63,0.607158541679,0.141010597348,0.251830875874
T9s,57,T2s,64,0.610834300518,0.141974210739,0.247191503644
T9s,57,9Ao,65,0.335397034883,0.0177758540958,0.646827101707
T9s,57,9Ko,66,0.320309370756,0.0276810266078,0.652009606361
T9s,57,9Qo,67,0.304748266935,0.0372359901667,0.658015727997
T9s,57,9Jo,68,0.289187163115,0.0497841909528,0.661028623581
T9s,57,9To,69,0.0715754926205,0.906690061092,0.021734457463
T9s,57,99o,70,0.378914028406,0.0190731324255,0.602012872696
T9s,57,98s,71,0.660180687904,0.0660396739841,0.273779660463
T9s,57,97s,72,0.6610917449,0.0660823062062,0.272825956345
T9s,57,96s,73,0.664399564266,0.0667691007257,0.268831342459
T9s,57,95s,74,0.677683413029,0.0681327581406,0.254183828831
T9s,57,94s,75,0.678491055965,0.0684726536274,0.253036260605
T9s,57,93s,76,0.679356575012,0.0688125491142,0.251830875874
T9s,57,92s,77,0.6835526824,0.0692558065057,0.247191503644
T9s,57,8Ao,78,0.466043710709,0.0041699660942,0.529786348343
